year,ffce,luce
1850,0.054,0.525
1851,0.054,0.561
1852,0.057,0.572
1853,0.059,0.617
1854,0.069,0.618
1855,0.071,0.619
1856,0.076,0.618
1857,0.077,0.618
1858,0.078,0.617
1859,0.083,0.616
1860,0.091,0.614
1861,0.095,0.617
1862,0.097,0.583
1863,0.104,0.536
1864,0.112,0.528
1865,0.119,0.520
1866,0.122,0.515
1867,0.130,0.511
1868,0.135,0.506
1869,0.142,0.502
1870,0.147,0.498
1871,0.156,0.509
1872,0.173,0.528
1873,0.184,0.589
1874,0.174,0.592
1875,0.188,0.598
1876,0.191,0.603
1877,0.194,0.608
1878,0.196,0.613
1879,0.210,0.619
1880,0.236,0.625
1881,0.243,0.644
1882,0.256,0.672
1883,0.272,0.633
1884,0.275,0.638
1885,0.277,0.642
1886,0.281,0.644
1887,0.295,0.646
1888,0.327,0.652
1889,0.327,0.659
1890,0.356,0.665
1891,0.372,0.676
1892,0.374,0.648
1893,0.370,0.646
1894,0.383,0.657
1895,0.406,0.650
1896,0.419,0.649
1897,0.440,0.649
1898,0.465,0.650
1899,0.507,0.651
1900,0.534,0.652
1901,0.552,0.710
1902,0.566,0.741
1903,0.617,0.758
1904,0.624,0.782
1905,0.663,0.806
1906,0.707,0.828
1907,0.784,0.843
1908,0.750,0.854
1909,0.785,0.861
1910,0.819,0.861
1911,0.836,0.798
1912,0.879,0.785
1913,0.943,0.729
1914,0.850,0.710
1915,0.838,0.703
1916,0.901,0.697
1917,0.955,0.690
1918,0.936,0.678
1919,0.806,0.675
1920,0.932,0.673
1921,0.803,0.723
1922,0.845,0.726
1923,0.970,0.712
1924,0.963,0.715
1925,0.975,0.718
1926,0.983,0.722
1927,1.062,0.729
1928,1.065,0.745
1929,1.145,0.755
1930,1.053,0.765
1931,0.940,0.776
1932,0.847,0.805
1933,0.893,0.806
1934,0.973,0.811
1935,1.027,0.815
1936,1.130,0.848
1937,1.209,0.854
1938,1.142,0.864
1939,1.192,0.864
1940,1.299,0.864
1941,1.334,0.804
1942,1.342,0.839
1943,1.391,0.847
1944,1.383,0.856
1945,1.160,0.861
1946,1.238,0.938
1947,1.392,0.959
1948,1.469,1.009
1949,1.419,1.029
1950,1.630,1.054
1951,1.767,1.288
1952,1.795,1.400
1953,1.841,1.380
1954,1.865,1.432
1955,2.042,1.481
1956,2.177,1.507
1957,2.270,1.525
1958,2.330,1.561
1959,2.454,1.473
1960,2.569,1.461
1961,2.580,1.530
1962,2.686,1.520
1963,2.833,1.526
1964,2.995,1.517
1965,3.130,1.548
1966,3.288,1.551
1967,3.393,1.595
1968,3.566,1.546
1969,3.780,1.543
1970,4.053,1.531
1971,4.208,1.405
1972,4.376,1.326
1973,4.614,1.318
1974,4.623,1.290
1975,4.596,1.302
1976,4.864,1.319
1977,5.026,1.351
1978,5.087,1.299
1979,5.369,1.252
1980,5.313,1.243
1981,5.151,1.252
1982,5.111,1.257
1983,5.093,1.432
1984,5.278,1.460
1985,5.438,1.499
1986,5.606,1.529
1987,5.750,1.515
1988,5.963,1.514
1989,6.094,1.531
1990,6.121,1.444
1991,6.198,1.636
1992,6.136,1.682
1993,6.133,1.546
1994,6.241,1.503
1995,6.374,1.485
1996,6.524,1.469
1997,6.624,1.447
1998,6.610,1.434
1999,6.597,1.397
2000,6.763,1.412
2001,6.929,1.228
2002,6.992,1.059
2003,7.405,1.032
2004,7.784,1.005
2005,8.076,0.991
2006,8.363,0.992
2007,8.532,0.940
2008,8.740,0.926
2009,8.700,0.867
2010,9.140,0.855
2011,9.449,
2012,9.575,
2013,9.735,
2014,9.795,
