year,ic
1750,277
1755,277.2
1760,277.6
1765,278
1770,278.6
1775,279.3
1780,280.1
1785,280.8
1790,281.6
1795,282.3
1800,282.9
1805,283.4
1810,283.8
1815,284
1820,284.2
1825,284.3
1830,284.4
1835,284.5
1840,284.6
1845,284.8
1850,285.2
1855,285.7
1860,286.3
1865,287.2
1870,288.2
1875,289.4
1880,290.8
1885,292.3
1890,293.7
1895,295.2
1900,296.7
1905,298.2
1910,299.9
1915,301.5
1920,303.2
1925,304.9
1930,306.5
1935,308
1940,309.3
1945,310.5
1950,312
1955,314.1
1960,316.9
1965,320.5
1970,324.7
1975,329.4
